"Date","AL","AK","AZ","AR","AS","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","CM","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VA","VI","WA","WV","WI","WY"
"16585","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16586","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16587","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16588","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16589","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16590","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16591","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16592","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16593","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16594","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16595","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16596","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16597","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16598","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16599","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
